method,variant,dataset,n_total,n_pos_gt,n_pos_pred,n_unparseable,acc,mf,path,error
boundary_rescue,test_v2_alpha0.20_v1_G6,MHClip_ZH,149,45,60,0,0.8054,0.7868,/data/jehc223/EMNLP2/results/boundary_rescue/MHClip_ZH/test_v2_alpha0.20_v1_G6.jsonl,
boundary_rescue,test_v2_alpha0.20_v1_G7,MHClip_ZH,149,45,56,0,0.8188,0.7978,/data/jehc223/EMNLP2/results/boundary_rescue/MHClip_ZH/test_v2_alpha0.20_v1_G7.jsonl,
boundary_rescue,test_v2_alpha0.20_v1_G8,MHClip_ZH,149,45,56,0,0.8188,0.7978,/data/jehc223/EMNLP2/results/boundary_rescue/MHClip_ZH/test_v2_alpha0.20_v1_G8.jsonl,
boundary_rescue,test_v2_alpha0.20_v1_G9,MHClip_ZH,149,45,53,0,0.8255,0.8023,/data/jehc223/EMNLP2/results/boundary_rescue/MHClip_ZH/test_v2_alpha0.20_v1_G9.jsonl,
boundary_rescue,test_v2_alpha0.20_v2_G1,MHClip_ZH,149,45,49,0,0.7987,0.7669,/data/jehc223/EMNLP2/results/boundary_rescue/MHClip_ZH/test_v2_alpha0.20_v2_G1.jsonl,
boundary_rescue,test_v2_alpha0.20_v2_G2,MHClip_ZH,149,45,49,0,0.7987,0.7669,/data/jehc223/EMNLP2/results/boundary_rescue/MHClip_ZH/test_v2_alpha0.20_v2_G2.jsonl,
boundary_rescue,test_v2_alpha0.20_v2_G5,MHClip_ZH,149,45,49,0,0.7987,0.7669,/data/jehc223/EMNLP2/results/boundary_rescue/MHClip_ZH/test_v2_alpha0.20_v2_G5.jsonl,
boundary_rescue,test_v2_alpha0.20_v2_G6,MHClip_ZH,149,45,49,0,0.7987,0.7669,/data/jehc223/EMNLP2/results/boundary_rescue/MHClip_ZH/test_v2_alpha0.20_v2_G6.jsonl,
boundary_rescue,test_v2_alpha0.30_v1_G1,MHClip_ZH,149,45,52,0,0.8054,0.7784,/data/jehc223/EMNLP2/results/boundary_rescue/MHClip_ZH/test_v2_alpha0.30_v1_G1.jsonl,
boundary_rescue,test_v2_alpha0.30_v1_G10,MHClip_ZH,149,45,52,0,0.8188,0.7937,/data/jehc223/EMNLP2/results/boundary_rescue/MHClip_ZH/test_v2_alpha0.30_v1_G10.jsonl,
boundary_rescue,test_v2_alpha0.30_v1_G2,MHClip_ZH,149,45,52,0,0.8054,0.7784,/data/jehc223/EMNLP2/results/boundary_rescue/MHClip_ZH/test_v2_alpha0.30_v1_G2.jsonl,
boundary_rescue,test_v2_alpha0.30_v1_G3,MHClip_ZH,149,45,52,0,0.8054,0.7784,/data/jehc223/EMNLP2/results/boundary_rescue/MHClip_ZH/test_v2_alpha0.30_v1_G3.jsonl,
